logbookId,projectId,logType,logStatus,severity,ownerName,createdDate,resolvedDate,summaryText,sourceSystem
LB-00001,PJ-300-03-04,Risk,Blocked,Critical,K. Davis,2026-07-16,,Data mapping requires architecture decision,SyntheticPlanview
LB-00002,PJ-200-03-04,Risk,Mitigated,Critical,K. Davis,2026-07-24,2026-09-07,Security review pending for integration approach,SyntheticPlanview
LB-00003,PJ-100-02-04,Decision,Mitigated,Medium,K. Davis,2026-06-12,2026-06-28,Security review pending for integration approach,SyntheticPlanview
LB-00004,PJ-200-02-05,Dependency,Closed,Critical,L. Brown,2026-01-19,2026-02-27,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00005,PJ-300-03-05,Risk,Blocked,High,K. Davis,2026-04-18,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00006,PJ-300-02-04,Risk,Open,Medium,K. Davis,2026-06-13,,Change request approved by steering group,SyntheticPlanview
LB-00007,PJ-200-02-03,Risk,Blocked,Critical,R. Patel,2026-02-12,,Security review pending for integration approach,SyntheticPlanview
LB-00008,PJ-100-02-02,Decision,Open,Medium,L. Brown,2026-01-03,,Change request approved by steering group,SyntheticPlanview
LB-00009,PJ-300-01-04,Assumption,Blocked,Medium,S. Jones,2026-05-23,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00010,PJ-200-03-01,Assumption,Blocked,Medium,R. Patel,2026-04-29,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00011,PJ-300-01-01,Risk,Mitigated,Low,K. Davis,2026-01-27,2026-02-23,Data mapping requires architecture decision,SyntheticPlanview
LB-00012,PJ-200-02-03,Issue,Mitigated,Critical,R. Patel,2026-03-21,2026-04-20,Security review pending for integration approach,SyntheticPlanview
LB-00013,PJ-100-02-02,Risk,Closed,High,A. Smith,2026-04-23,2026-05-14,Change request approved by steering group,SyntheticPlanview
LB-00014,PJ-100-02-03,Risk,Mitigated,Medium,K. Davis,2026-01-06,2026-02-17,Data mapping requires architecture decision,SyntheticPlanview
LB-00015,PJ-300-01-04,Issue,Blocked,High,L. Brown,2026-02-14,,Security review pending for integration approach,SyntheticPlanview
LB-00016,PJ-200-03-05,Issue,Closed,Medium,K. Davis,2026-03-01,2026-04-11,Change request approved by steering group,SyntheticPlanview
LB-00017,PJ-200-03-03,Assumption,Open,Medium,S. Jones,2026-04-12,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00018,PJ-200-03-03,Issue,Open,Medium,R. Patel,2026-04-10,,Change request approved by steering group,SyntheticPlanview
LB-00019,PJ-100-01-05,Assumption,Open,Medium,R. Patel,2026-05-28,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00020,PJ-100-03-03,Decision,Open,Critical,L. Brown,2026-04-28,,Change request approved by steering group,SyntheticPlanview
LB-00021,PJ-200-02-01,Dependency,Closed,Low,R. Patel,2026-06-02,2026-07-12,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00022,PJ-200-03-05,Decision,In Review,Low,K. Davis,2026-06-08,,Data mapping requires architecture decision,SyntheticPlanview
LB-00023,PJ-200-02-01,Decision,In Review,Low,M. Chen,2026-01-31,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00024,PJ-300-03-05,Dependency,Blocked,Critical,L. Brown,2026-02-06,,Data mapping requires architecture decision,SyntheticPlanview
LB-00025,PJ-300-02-02,Dependency,Closed,Medium,L. Brown,2026-04-09,2026-04-21,Data mapping requires architecture decision,SyntheticPlanview
LB-00026,PJ-300-01-02,Issue,In Review,High,S. Jones,2026-03-15,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00027,PJ-100-01-04,Dependency,Mitigated,Medium,M. Chen,2026-08-10,2026-08-11,Security review pending for integration approach,SyntheticPlanview
LB-00028,PJ-300-02-01,Dependency,Closed,Critical,K. Davis,2026-05-10,2026-06-06,Security review pending for integration approach,SyntheticPlanview
LB-00029,PJ-300-01-02,Assumption,Open,Low,M. Chen,2026-02-12,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00030,PJ-100-01-03,Assumption,In Review,High,M. Chen,2026-03-12,,Security review pending for integration approach,SyntheticPlanview
LB-00031,PJ-300-02-02,Assumption,Closed,Low,L. Brown,2026-07-10,2026-08-15,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00032,PJ-200-01-03,Decision,Blocked,Low,K. Davis,2026-07-18,,Security review pending for integration approach,SyntheticPlanview
LB-00033,PJ-300-01-05,Issue,Closed,High,A. Smith,2026-02-25,2026-03-04,Security review pending for integration approach,SyntheticPlanview
LB-00034,PJ-200-01-02,Dependency,Open,Low,M. Chen,2026-03-31,,Data mapping requires architecture decision,SyntheticPlanview
LB-00035,PJ-300-02-03,Dependency,Mitigated,Medium,L. Brown,2026-06-26,2026-08-05,Data mapping requires architecture decision,SyntheticPlanview
LB-00036,PJ-100-03-04,Risk,In Review,High,L. Brown,2026-07-28,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00037,PJ-300-02-04,Decision,In Review,High,R. Patel,2026-05-18,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00038,PJ-200-01-03,Risk,Blocked,Medium,S. Jones,2026-08-08,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00039,PJ-200-01-03,Issue,In Review,Medium,M. Chen,2026-08-10,,Change request approved by steering group,SyntheticPlanview
LB-00040,PJ-200-02-01,Dependency,In Review,Critical,M. Chen,2026-08-01,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00041,PJ-300-03-01,Dependency,Closed,Low,K. Davis,2026-03-10,2026-04-04,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00042,PJ-200-03-01,Decision,Mitigated,Critical,S. Jones,2026-05-12,2026-06-26,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00043,PJ-300-02-03,Dependency,Open,High,A. Smith,2026-01-01,,Implementation team blocked by missing requirement,SyntheticPlanview
LB-00044,PJ-200-03-01,Dependency,Closed,High,R. Patel,2026-02-25,2026-03-11,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00045,PJ-200-02-02,Issue,Blocked,Critical,R. Patel,2026-05-21,,Change request approved by steering group,SyntheticPlanview
LB-00046,PJ-100-01-04,Dependency,Open,Low,A. Smith,2026-01-12,,Data mapping requires architecture decision,SyntheticPlanview
LB-00047,PJ-200-03-04,Dependency,Open,Medium,K. Davis,2026-04-27,,Data mapping requires architecture decision,SyntheticPlanview
LB-00048,PJ-300-03-02,Decision,In Review,Low,K. Davis,2026-03-19,,Budget variance requires follow-up with finance,SyntheticPlanview
LB-00049,PJ-200-01-02,Issue,Mitigated,Low,S. Jones,2026-01-22,2026-03-06,Change request approved by steering group,SyntheticPlanview
LB-00050,PJ-200-01-05,Dependency,In Review,Low,K. Davis,2026-07-05,,Vendor dependency may impact release schedule,SyntheticPlanview
LB-00051,PJ-100-01-01,Issue,Closed,Medium,L. Brown,2026-02-24,2026-03-01,Change request approved by steering group,SyntheticPlanview
LB-00052,PJ-200-03-04,Decision,Open,Low,S. Jones,2026-01-03,,Change request approved by steering group,SyntheticPlanview
LB-00053,PJ-100-02-04,Issue,Open,Critical,A. Smith,2026-05-03,,Change request approved by steering group,SyntheticPlanview
